Date,equity,exposure,n_held,gate,vol_scalar
2000-05-09,1.0067425601560132,0.0,0,0.0,0.673418983910953
2000-05-10,1.0069753719509553,0.0,0,0.0,0.6935640428280774
2000-05-11,1.007208237584221,0.0,0,0.0,0.684099236738389
2000-05-12,1.0074411570682609,0.0,0,0.0,0.694584857166903
2000-05-15,1.0076741304155277,0.0,0,0.0,0.7152362314364853
2000-05-16,1.0079071576384777,0.0,0,0.0,0.7368594373666678
2000-05-17,1.0081402387495697,0.0,0,0.0,0.7567145878388228
2000-05-18,1.0083733737612655,0.0,0,0.0,0.7788036313316692
2000-05-19,1.0086065626860297,0.0,0,0.0,0.8009005516487503
2000-05-22,1.00883980553633,0.0,0,0.0,0.8040436032900679
2000-05-23,1.0090731023246364,0.0,0,0.0,0.8240818880433093
2000-05-24,1.0093064530634226,0.0,0,0.0,0.831971865877973
2000-05-25,1.0095398577651646,0.0,0,0.0,0.8411213833491336
2000-05-26,1.0097733164423417,0.0,0,0.0,0.8649901615735194
2000-05-29,1.0100068291074356,0.0,0,0.0,0.8575741445352019
2000-05-30,1.0102403957729313,0.0,0,0.0,0.8416184381800298
2000-05-31,1.0104740164513166,0.0,0,0.0,0.825246415730582
2000-06-01,1.0107076911550819,0.0,0,0.0,0.8207036442680871
2000-06-02,1.0109414198967208,0.0,0,0.0,0.8294084247138765
2000-06-05,1.0111752026887297,0.0,0,0.0,0.8474461888639682
2000-06-06,1.011409039543608,0.0,0,0.0,0.8733514319143966
2000-06-07,1.0116429304738577,0.0,0,0.0,0.8925714431627445
2000-06-08,1.0118768754919838,0.0,0,0.0,0.877017107104659
2000-06-09,1.0121108746104945,0.0,0,0.0,0.9007964867872207
2000-06-12,1.0123449278419006,0.0,0,0.0,0.9222924977406846
2000-06-13,1.0125790351987156,0.0,0,0.0,0.9512562217731169
2000-06-14,1.0128131966934564,0.0,0,0.0,0.9658128754323707
2000-06-15,1.0130474123386424,0.0,0,0.0,0.9960792352807062
2000-06-16,1.013281682146796,0.0,0,0.0,1.0
2000-06-19,1.013516006130443,0.0,0,0.0,1.0
2000-06-20,1.013750384302111,0.0,0,0.0,1.0
2000-06-21,1.0139848166743313,0.0,0,0.0,1.0
2000-06-22,1.014219303259638,0.0,0,0.0,1.0
2000-06-23,1.0144538440705682,0.0,0,0.0,1.0
2000-06-26,1.0146884391196613,0.0,0,0.0,1.0
2000-06-27,1.0149230884194602,0.0,0,0.0,1.0
2000-06-28,1.0151577919825105,0.0,0,0.0,1.0
2000-06-29,1.015392549821361,0.0,0,0.0,1.0
2000-06-30,1.0156273619485627,0.0,0,0.0,1.0
2000-07-03,1.01586222837667,0.0,0,0.0,1.0
2000-07-04,1.0160971491182405,0.0,0,0.0,1.0
2000-07-05,1.0163321241858339,0.0,0,0.0,1.0
2000-07-06,1.0165671535920133,0.0,0,0.0,1.0
2000-07-07,1.0168022373493448,0.0,0,0.0,1.0
2000-07-10,1.017037375470397,0.0,0,0.0,1.0
2000-07-11,1.017272567967742,0.0,0,0.0,1.0
2000-07-12,1.017507814853954,0.0,0,0.0,1.0
2000-07-13,1.0177431161416108,0.0,0,0.0,1.0
2000-07-14,1.0179784718432932,0.0,0,0.0,1.0
2000-07-17,1.018213881971584,0.0,0,0.0,1.0
2000-07-18,1.0184493465390698,0.0,0,0.0,1.0
2000-07-19,1.0186848655583398,0.0,0,0.0,1.0
2000-07-20,1.0189204390419861,0.0,0,0.0,1.0
2000-07-21,1.0191560670026039,0.0,0,0.0,1.0
2000-07-24,1.0193917494527907,0.0,0,0.0,0.9557697985719911
2000-07-25,1.0196274864051476,0.0,0,0.0,0.9462806983585995
2000-07-26,1.0198632778722785,0.0,0,0.0,0.9731548175143434
2000-07-27,1.0200991238667898,0.0,0,0.0,0.9965940291650216
2000-07-28,1.0203350244012914,0.0,0,0.0,1.0
2000-07-31,1.0205709794883957,0.0,0,0.0,1.0
2000-08-01,1.020806989140718,0.0,0,0.0,1.0
2000-08-02,1.0210430533708768,0.0,0,0.0,1.0
2000-08-03,1.0212791721914931,0.0,0,0.0,1.0
2000-08-04,1.0215153456151915,0.0,0,0.0,1.0
2000-08-07,1.0217515736545988,0.0,0,0.0,1.0
2000-08-08,1.021987856322345,0.0,0,0.0,1.0
2000-08-09,1.0222241936310632,0.0,0,0.0,1.0
2000-08-10,1.0224605855933893,0.0,0,0.0,1.0
2000-08-11,1.022697032221962,0.0,0,0.0,1.0
2000-08-14,1.022933533529423,0.0,0,0.0,1.0
2000-08-15,1.0231700895284168,0.0,0,0.0,1.0
2000-08-16,1.0234067002315912,0.0,0,0.0,1.0
2000-08-17,1.0236433656515966,0.0,0,0.0,1.0
