Date,strategy,sensex
2000,0.046377965102113894,-0.26101601302662325
2001,-0.038124701267886696,-0.17869299470356248
2002,0.26539303194745,0.03523553669282342
2003,0.8340823893076132,0.7288942315373028
2004,0.11264889761814234,0.13079897543022811
2005,0.8739243761451918,0.4233486307700851
2006,1.2080790096887455,0.46701567416360823
2007,0.8407760027380413,0.47146750101786417
2008,-0.11431316190894247,-0.5244583125018834
2009,0.4747415784190836,0.8103296488607727
2010,0.1497675948312991,0.17430932266366428
2011,-0.04382792936141122,-0.2464356029633964
2012,0.3553943894873217,0.25699201520955794
2013,0.11891522906050378,0.08977169401504614
2014,1.0070779098477223,0.298938925334161
2015,0.009699420886110532,-0.05025127305597288
2016,0.08670410151342356,0.019485828040005426
2017,0.5729697646158578,0.27905951169932863
2018,-0.06418378323117946,0.05906304581909749
2019,-0.05805835759601985,0.1437663020664337
2020,0.5376622332010021,0.15750305583101976
2021,0.9184821660815872,0.21994136288748511
2022,-0.03459322315784685,0.04440769643729103
2023,0.6851065306134827,0.18736655493155197
2024,0.12532819363873893,0.08165460892055831
2025,-0.0002683822506690525,0.09062815037263827
2026,-0.015160377461637786,-0.09335880766066962
